"Round","num.trees","mtry","sample.fraction","min.node.size","replace","mse","training_time","prediction_time"
2,749.579904429615,31.4883308256976,0.430880721169524,5.41491369763389,0.862011294811964,695936271.375732,0.69800000000032,0.0419999999998254
3,317.32779998472,30.4265117740724,0.482963853306137,36.4147818281781,0.653593538329005,800681456.665224,0.171999999999389,0.0319999999999709
4,1443.28546141926,17.9375807158649,0.257034006668255,19.4827054555062,0.969231553841382,835210100.111946,0.359999999999127,0.0460000000006403
5,688.187839311548,15.3305899284314,0.20114220478572,19.8961135260761,0.0257158651947975,890291471.417466,0.136000000000786,0.0319999999999709
6,1240.49764795322,2.95435174764134,0.200275770598091,29.710003469605,0.0759803908877075,1367375825.29186,0.144000000000233,0.0400000000001455
7,1635.94256808329,51.0683899521828,0.390604914515279,27.9193280732725,0.151027274085209,814569618.820698,0.966000000001077,0.0539999999993597
8,759.171465880703,36.9765210202895,0.742694363603368,21.6133078602143,0.732533562462777,719375185.793403,0.742000000000553,0.0360000000007858
9,1525.60574257327,25.0811152085662,0.587103503779508,39.605385471601,0.646222962997854,781475002.349711,0.65399999999936,0.0480000000003201
10,437.951593580656,47.9188362259883,0.827376150060445,8.32496526557952,0.33655182691291,722108886.322382,0.964000000000669,0.0380000000004657
11,1616.23483369127,40.3979355685704,0.140405316678973,1,0.199428661288108,767876538.726562,1.28199999999924,0.0620000000009895
12,2048,60,0.1,1,1,838629239.239273,1.46999999999898,0.0880000000004657
13,1973.20717715934,46.190036663401,0.121374543201781,1,1,808078577.054804,1.32000000000116,0.0799999999988358
14,2,60,1,50,1,1077951723.06644,0.0300000000010186,0.0180000000014843
15,1895.98951170015,32.3789198254991,1,1,0.863406700164356,659066123.139962,6.23400000000038,0.297999999999593
16,332.977528563631,15.743422114363,0.1,50,0.454318081828823,1593896857.03285,0.0479999999995925,0.019999999999709
17,1798.13194936889,60,1,16.2257973516781,0.742933028547018,693578721.05019,4.26000000000058,0.0819999999999709
18,2048,1,1,1,1,1682593793.92161,0.326000000001659,0.0640000000006694
19,2,34.0710186751914,1,1,1,1237614882.4887,0.0439999999995052,0.0180000000000291
20,2,60,0.795035665800443,37.1581355048066,0.906226735277341,1159426689.31284,0.030000000000291,0.0139999999992142
21,2048,52.3068619445081,0.884317833006076,1,2.22044604925031e-16,767260813.481425,14.944000000001,0.461999999999534
22,578.568015365085,60,1,1,0.204718974741928,742034281.367468,4.51599999999962,0.107999999999447
23,2048,31.199795466968,0.987450598989563,21.7917375273851,0.452196944217276,685730992.268649,2.37000000000044,0.0779999999998836
24,2048,37.263843784192,0.593740356482133,50,0.604232571807607,861489276.739028,1.14199999999983,0.0599999999998545
25,2048,60,1,50,1,779728011.230898,3.73399999999892,0.0880000000004657
26,2,41.8998506217187,0.103751101877959,50,0.414100180944354,2082603191.59105,0.0260000000002037,0.0260000000002037
27,2,10.6580468407668,0.506502323735753,1,2.22044604925031e-16,1317998782.85786,0.0299999999995634,0.0120000000002619
28,2048,28.0369041211139,0.307251090348811,1,2.22044604925031e-16,701088956.028245,2.8260000000002,0.130000000000291
29,970.740361302022,60,0.489411732875599,1,1,718495126.742038,3.89600000000064,0.0719999999993888
30,2048,35.9491463069812,1,10.9295945279478,2.22044604925031e-16,679649779.07436,3.75400000000009,0.107999999999447
31,116.963296125268,25.1126541433628,0.173098995837745,21.3820733613052,0.404094626676312,932118378.506909,0.052000000001135,0.0260000000002037
32,1345.47955360296,40.1102848073098,1,50,1,738946845.723806,1.3739999999998,0.0499999999992724
33,2048,44.2170965862706,1,20.0912987346621,1,681824984.42422,3.33599999999933,0.0900000000001455
34,2048,60,0.454360045193668,1,2.22044604925031e-16,704104819.571158,7.06999999999898,0.15
35,1427.97478696869,60,0.768961945588724,22.8076849375082,1,723368667.429394,2.16399999999994,0.0540000000008149
36,2048,16.7126843674281,0.1,1,2.22044604925031e-16,849156325.882497,0.936000000000058,0.0999999999992724
37,1246.55502819741,47.7161755031872,1,1,1,671949054.47211,5.30999999999985,0.179999999998836
38,1356.84709193592,46.1083046255318,0.529765938902731,1,2.22044604925031e-16,693054779.260526,3.8580000000009,0.0999999999992724
39,2,24.0986714977986,0.898428260110929,50,2.22044604925031e-16,1190360630.45134,0.0319999999992433,0.0239999999990687
40,2048,28.9414799069653,0.223399659719675,29.9970041113123,2.22044604925031e-16,930082842.132094,0.538000000001193,0.0540000000000873
41,2,17.5863627492283,0.1,1,2.22044604925031e-16,1814184861.00348,0.0259999999994761,0.0239999999997963
42,40.0120193066347,38.9254018624577,0.269309114491724,1.24137853494063,0.788666523669099,765236261.923268,0.0839999999996508,0.0180000000007567
43,1842.78738535082,30.1812592968719,0.807191787489869,1,0.976556062715452,633878888.201454,4.53799999999974,0.148000000001048
44,2048,24.9926875220452,0.472432049034081,50,1,879629895.21277,0.668000000000029,0.0599999999998545
45,1884.159557793,7.6561941495823,0.697695288441967,5.23220607779246,0.206813080359999,672945299.411072,1.1260000000002,0.115999999999622
46,539.23372449926,1,0.756611889902421,3.43449411331877,0.520915414919632,1717286045.83202,0.131999999999971,0.0459999999991851
47,2048,35.0918263563296,0.714894877876148,2.41044181955561,0.081445124019862,634449237.85265,5.18399999999892,0.154000000000087
48,2048,1,0.611133260119501,7.83979512898992,0.0384330636675113,1711661064.35748,0.254000000000087,0.0600000000013097
49,2048,13.8692428377473,1,10.6192896941611,0.00674775963635025,650875738.928904,1.60800000000017,0.0979999999995926
50,2048,49.0161287480416,1,50,0.996169916390436,764416587.562164,2.38800000000047,0.0739999999990687
51,1582.06778936079,31.3982861119357,1,50,0.970304582660058,750165039.874293,1.27199999999866,0.0619999999988067
52,2048,60,0.1,50,2.22044604925031e-16,1599834532.6709,0.288000000000466,0.042000000000553
53,832.742651677504,10.52103225784,1,22.9625094907988,0.898522599775314,712925591.148615,0.426000000000204,0.0419999999998254
54,1228.89942454635,52.3848638761579,1,30.313695146342,0.896380882611875,721095177.685564,2.1739999999998,0.0540000000008149
55,2048,10.0670190448111,0.1,6.77376895498942,0.828095067443117,978678642.712881,0.275999999999476,0.0659999999988941
56,1477.81587418568,12.4906345589295,0.893880075673635,1,2.22044604925031e-16,625717099.139954,2.78799999999974,0.36200000000099
57,2,50.8751726593573,0.1,1,1,1595108416.46792,0.0280000000006112,0.0280000000013388
