min.node.size,replace,MSE,runtime_training,runtime_prediction
30.0,0.0,624211729.077889,0.150000000001455,0.0299999999988358
31.0,1.0,612003218.459172,0.229999999999563,0.0299999999988358
31.0,0.0,623778029.643071,0.149999999997817,0.0400000000008731
32.0,1.0,614333918.182032,0.209999999999127,0.0400000000008731
32.0,0.0,629217819.314149,0.159999999999854,0.0299999999988358
33.0,1.0,615151960.459779,0.25,0.0300000000024738
33.0,0.0,632350824.314502,0.150000000001455,0.0299999999988358
34.0,1.0,620398919.54723,0.220000000001164,0.0299999999988358
34.0,0.0,632872508.010591,0.159999999999854,0.0099999999983992
35.0,1.0,621966904.245592,0.200000000000728,0.0400000000008731
35.0,0.0,634077077.576695,0.139999999999418,0.0299999999988358
36.0,1.0,621782685.303262,0.219999999997526,0.0299999999988358
36.0,0.0,640941707.514076,0.150000000001455,0.0299999999988358
37.0,1.0,622613101.320149,0.19999999999709,0.0300000000024738
37.0,0.0,644520672.204522,0.159999999999854,0.0299999999988358
38.0,1.0,622539406.534153,0.209999999999127,0.0200000000004366
38.0,0.0,645698408.063762,0.159999999999854,0.0299999999988358
39.0,1.0,627854067.84785,0.25,0.0300000000024738
39.0,0.0,647114905.599042,0.140000000003056,0.0300000000024738
40.0,1.0,629348084.886967,0.209999999999127,0.0299999999988358
40.0,0.0,651635584.320382,0.139999999999418,0.0299999999988358
41.0,1.0,631570643.78352,0.209999999999127,0.0300000000024738
41.0,0.0,654554867.959847,0.139999999999418,0.0299999999988358
42.0,1.0,632335658.231477,0.200000000000728,0.0299999999988358
42.0,0.0,659880262.985404,0.130000000001019,0.0299999999988358
43.0,1.0,633668400.088592,0.220000000001164,0.0299999999988358
43.0,0.0,666123468.403023,0.139999999999418,0.0299999999988358
44.0,1.0,635693640.562033,0.200000000000728,0.0300000000024738
44.0,0.0,669322616.316752,0.139999999999418,0.0400000000008731
45.0,1.0,639629329.887785,0.200000000000728,0.0299999999988358
45.0,0.0,669680900.074354,0.159999999999854,0.0400000000008731
46.0,1.0,642955169.804797,0.190000000002328,0.0300000000024738
46.0,0.0,673655914.307125,0.139999999999418,0.0200000000004366
47.0,1.0,643376996.332881,0.200000000000728,0.0299999999988358
47.0,0.0,678669987.399738,0.150000000001455,0.0400000000008731
48.0,1.0,647231667.768283,0.200000000000728,0.0299999999988358
48.0,0.0,682226042.506871,0.139999999999418,0.0299999999988358
49.0,1.0,647730418.446605,0.180000000000291,0.0299999999988358
49.0,0.0,682366773.82441,0.139999999999418,0.0299999999988358
50.0,1.0,652168327.133048,0.200000000000728,0.0100000000020373
50.0,0.0,688162471.672914,0.130000000001019,0.0299999999988358
