num.trees,mtry,MSE,runtime_training,runtime_prediction
1.0,1.0,2292818332.22624,0.0700000000006185,0.0100000000002183
1.0,2.0,2390497866.36267,0.0300000000006548,0.0200000000004366
1.0,3.0,2157343761.35737,0.0299999999997453,0.0300000000006548
1.0,4.0,2136586664.676,0.0299999999997453,0.0299999999997453
1.0,5.0,2077734141.04533,0.0299999999997453,0.0200000000004366
1.0,6.0,1471391602.62878,0.0299999999997453,0.0299999999997453
1.0,7.0,1613091403.45354,0.0399999999999636,0.0100000000002183
1.0,8.0,1805778064.00789,0.0299999999997453,0.0100000000002183
1.0,9.0,1537794130.22885,0.0299999999997453,0.0100000000002183
1.0,10.0,1869441736.01881,0.0100000000002183,0.0099999999993087
1.0,11.0,1697068666.09299,0.0299999999997453,0.0100000000002183
1.0,12.0,1850530489.81861,0.0299999999997453,0.0200000000004366
1.0,13.0,1774857900.19443,0.0299999999997453,0.0799999999999272
1.0,14.0,1775665960.13677,0.0299999999997453,0.0099999999993087
1.0,15.0,1741317839.66249,0.0299999999997453,0.0100000000002183
1.0,16.0,1977337143.59447,0.0500000000001819,0.0199999999995271
1.0,17.0,1608060129.53748,0.0299999999997453,0.0100000000002183
1.0,18.0,1477254570.18427,0.0399999999999636,0.0200000000004366
1.0,19.0,1396704671.80067,0.0399999999999636,0.0299999999997453
1.0,20.0,1727781891.6735,0.0299999999997453,0.0100000000002183
1.0,21.0,1975650040.45366,0.0299999999997453,0.0299999999997453
1.0,22.0,1756656601.67633,0.0399999999999636,0.0300000000006548
1.0,23.0,1174634571.0193,0.0299999999997453,0.0399999999999636
1.0,24.0,1725660416.07442,0.0500000000001819,0.0099999999993087
1.0,25.0,1894487226.16987,0.0299999999997453,0.0100000000002183
1.0,26.0,1976531386.89603,0.0299999999997453,0.0100000000002183
1.0,27.0,2095239280.33237,0.0399999999999636,0.0199999999995271
1.0,28.0,1543708514.09153,0.0300000000006548,0.0299999999997453
1.0,29.0,1882583320.70207,0.0500000000001819,0.0199999999995271
1.0,30.0,1770129837.02194,0.0500000000001819,0.0199999999995271
1.0,31.0,1703171338.00474,0.0700000000006185,0.0200000000004366
1.0,32.0,1167141476.9714,0.0499999999992724,0.0299999999997453
1.0,33.0,1557063088.49202,0.0399999999999636,0.0199999999995271
1.0,34.0,1383675984.43838,0.0299999999997453,0.0299999999997453
1.0,35.0,1749269080.85738,0.130000000000109,0.0100000000002183
1.0,36.0,1595682278.92833,0.0599999999994907,0.0099999999993087
1.0,37.0,1932059391.00509,0.0600000000004002,0.0200000000004366
1.0,38.0,1670597229.05521,0.0399999999999636,0.0199999999995271
1.0,39.0,2112913214.63954,0.0399999999999636,0.0199999999995271
1.0,40.0,1499548154.16965,0.0299999999997453,0.0300000000006548
1.0,41.0,1397750537.43989,0.0500000000001819,0.0299999999997453
1.0,42.0,1319882881.30988,0.0500000000001819,0.0099999999993087
1.0,43.0,1338587765.48401,0.0500000000001819,0.0199999999995271
1.0,44.0,1667410797.82828,0.0300000000006548,0.0100000000002183
1.0,45.0,1599392365.26492,0.0299999999997453,0.0299999999997453
1.0,46.0,1770922905.61699,0.0299999999997453,0.0199999999995271
1.0,47.0,1587768581.28265,0.069999999999709,0.0099999999993087
