"num.trees","mtry","sample.fraction","min.node.size","replace","MSE","runtime_training","runtime_prediction"
8,26,0.1,1,TRUE,916062342.772379,0.0199999999999818,0.0300000000002001
16,26,0.1,1,TRUE,855692950.068611,0.00999999999976353,0.0299999999997453
32,26,0.1,1,TRUE,772713023.736742,0.0300000000002001,0.0299999999997453
64,26,0.1,1,TRUE,757968139.314847,0.0599999999999454,0.0199999999999818
128,26,0.1,1,TRUE,733401805.163081,0.0599999999999454,0.0199999999999818
256,26,0.1,1,TRUE,715502613.43523,0.120000000000346,0.0300000000002001
512,26,0.1,1,TRUE,694875920.090668,0.2199999999998,0.0299999999997453
1024,26,0.1,1,TRUE,700627324.439709,0.449999999999818,0.0500000000001819
2048,26,0.1,1,TRUE,701982354.32451,0.860000000000127,0.0799999999999272
2,28,0.1,1,TRUE,1366233269.10935,0.0399999999999636,0.0100000000002183
4,28,0.1,1,TRUE,967929435.977702,0.0300000000002001,0.0300000000002001
8,28,0.1,1,TRUE,932362250.060061,0.0299999999997453,0.0300000000002001
16,28,0.1,1,TRUE,874967910.638461,0.0399999999999636,0.0399999999999636
32,28,0.1,1,TRUE,763158626.181064,0.0300000000002001,0.0100000000002183
64,28,0.1,1,TRUE,732180801.928825,0.0499999999997272,0.00999999999976353
128,28,0.1,1,TRUE,712510565.239451,0.0999999999999091,0.0300000000002001
256,28,0.1,1,TRUE,697808643.243418,0.120000000000346,0.0199999999999818
512,28,0.1,1,TRUE,702484014.549885,0.25,0.0399999999999636
1024,28,0.1,1,TRUE,705967735.795155,0.429999999999836,0.0500000000001819
2048,28,0.1,1,TRUE,702037741.88521,0.980000000000018,0.0799999999999272
2,30,0.1,1,TRUE,1172564722.61578,0.0300000000002001,0.0199999999999818
4,30,0.1,1,TRUE,916923300.834155,0.0300000000002001,0.0100000000002183
8,30,0.1,1,TRUE,953152517.170883,0.0299999999997453,0.0199999999999818
16,30,0.1,1,TRUE,811890830.24202,0.0299999999997453,0.00999999999976353
32,30,0.1,1,TRUE,775588124.843224,0.0300000000002001,0.0199999999999818
64,30,0.1,1,TRUE,743878139.260679,0.0599999999999454,0.0199999999999818
128,30,0.1,1,TRUE,733881827.891342,0.0799999999999272,0.0300000000002001
256,30,0.1,1,TRUE,714386000.116853,0.140000000000327,0.0300000000002001
512,30,0.1,1,TRUE,704335687.835702,0.359999999999673,0.0300000000002001
1024,30,0.1,1,TRUE,709026743.921806,0.5,0.0499999999997272
2048,30,0.1,1,TRUE,704896428.665663,1.30999999999995,0.0799999999999272
2,40,0.1,1,TRUE,1427845972.74314,0.0399999999999636,0.0100000000002183
4,40,0.1,1,TRUE,1028812766.46634,0.0300000000002001,0.00999999999976353
8,40,0.1,1,TRUE,1027608741.83547,0.00999999999976353,0.0199999999999818
16,40,0.1,1,TRUE,872059044.958881,0.0500000000001819,0.0399999999999636
32,40,0.1,1,TRUE,812870629.624007,0.0399999999999636,0.0300000000002001
64,40,0.1,1,TRUE,767731454.701117,0.0599999999999454,0.0199999999999818
128,40,0.1,1,TRUE,737767560.334947,0.119999999999891,0.0199999999999818
256,40,0.1,1,TRUE,715266841.550687,0.199999999999818,0.0300000000002001
512,40,0.1,1,TRUE,711906391.159748,0.309999999999945,0.0300000000002001
1024,40,0.1,1,TRUE,701374394.582607,0.640000000000327,0.0500000000001819
2048,40,0.1,1,TRUE,703226972.745975,1.17000000000007,0.0799999999999272
2,60,0.1,1,TRUE,1334426869.78731,0.0300000000002001,0.0100000000002183
4,60,0.1,1,TRUE,1082824606.80146,0.0299999999997453,0.0199999999999818
8,60,0.1,1,TRUE,927897241.09166,0.00999999999976353,0.0199999999999818
16,60,0.1,1,TRUE,866316892.067833,0.0399999999999636,0.0100000000002183
32,60,0.1,1,TRUE,769462139.914701,0.0500000000001819,0.0299999999997453
64,60,0.1,1,TRUE,728295381.574947,0.0799999999999272,0.0199999999999818
128,60,0.1,1,TRUE,719935583.061893,0.159999999999854,0.0300000000002001
256,60,0.1,1,TRUE,710293595.150585,0.260000000000218,0.0299999999997453
512,60,0.1,1,TRUE,711277071.566257,0.529999999999745,0.0300000000002001
1024,60,0.1,1,TRUE,711750998.844384,1.07000000000016,0.0500000000001819
2048,60,0.1,1,TRUE,711629079.337463,1.53999999999996,0.100000000000364
2,2,0.2,1,TRUE,2285279609.13594,0.0299999999997453,0.0300000000002001
4,2,0.2,1,TRUE,1505848356.27412,0.0199999999999818,0.0100000000002183
8,2,0.2,1,TRUE,1153109200.66318,0.0300000000002001,0.0199999999999818
16,2,0.2,1,TRUE,982436656.254989,0.0300000000002001,0.00999999999976353
32,2,0.2,1,TRUE,937549256.462528,0.0399999999999636,0.0199999999999818
64,2,0.2,1,TRUE,913253889.951755,0.0300000000002001,0.0199999999999818
128,2,0.2,1,TRUE,890786480.826079,0.0399999999999636,0.0300000000002001
256,2,0.2,1,TRUE,862902139.034561,0.0599999999999454,0.0300000000002001
512,2,0.2,1,TRUE,857261251.399138,0.0899999999996908,0.0300000000002001
1024,2,0.2,1,TRUE,870233363.111474,0.190000000000055,0.0500000000001819
2048,2,0.2,1,TRUE,874838352.798987,0.360000000000127,0.0799999999999272
2,5,0.2,1,TRUE,1438165287.44128,0.0100000000002183,0.0199999999999818
4,5,0.2,1,TRUE,1096751459.18353,0.0300000000002001,0.0100000000002183
8,5,0.2,1,TRUE,995191689.573322,0.0299999999997453,0.0199999999999818
16,5,0.2,1,TRUE,870039619.197644,0.0299999999997453,0.0199999999999818
32,5,0.2,1,TRUE,807339918.913599,0.0399999999999636,0.0100000000002183
64,5,0.2,1,TRUE,781061521.816153,0.0500000000001819,0.00999999999976353
128,5,0.2,1,TRUE,749947675.81288,0.0599999999999454,0.0199999999999818
256,5,0.2,1,TRUE,705018806.533433,0.0900000000001455,0.0299999999997453
512,5,0.2,1,TRUE,687680028.736294,0.159999999999854,0.0399999999999636
1024,5,0.2,1,TRUE,695309793.667199,0.349999999999909,0.0599999999999454
2048,5,0.2,1,TRUE,699012648.991776,0.659999999999854,0.110000000000127
2,10,0.2,1,TRUE,1236282237.09701,0.0199999999999818,0.0199999999999818
4,10,0.2,1,TRUE,1033613383.56082,0.0299999999997453,0.0199999999999818
8,10,0.2,1,TRUE,907883329.110215,0.0399999999999636,0.0300000000002001
16,10,0.2,1,TRUE,786524132.145626,0.0399999999999636,0.0100000000002183
32,10,0.2,1,TRUE,709069609.578988,0.0300000000002001,0.0199999999999818
64,10,0.2,1,TRUE,681381894.206021,0.0399999999999636,0.0100000000002183
128,10,0.2,1,TRUE,683117169.663743,0.080000000000382,0.0199999999999818
256,10,0.2,1,TRUE,668703696.36581,0.119999999999891,0.0399999999999636
512,10,0.2,1,TRUE,661612991.530526,0.240000000000236,0.0500000000001819
1024,10,0.2,1,TRUE,669372829.415963,0.440000000000055,0.0599999999999454
2048,10,0.2,1,TRUE,667503976.213968,0.800000000000182,0.110000000000127
2,20,0.2,1,TRUE,1123648179.42539,0.00999999999976353,0.0300000000002001
4,20,0.2,1,TRUE,987727660.38958,0.0299999999997453,0.0100000000002183
8,20,0.2,1,TRUE,898616031.660083,0.0199999999999818,0.0100000000002183
16,20,0.2,1,TRUE,774793582.0093,0.0300000000002001,0.0199999999999818
32,20,0.2,1,TRUE,670389944.637421,0.0500000000001819,0.0199999999999818
64,20,0.2,1,TRUE,681728746.780939,0.0599999999999454,0.0199999999999818
128,20,0.2,1,TRUE,671584627.193675,0.109999999999673,0.0300000000002001
256,20,0.2,1,TRUE,662622849.499151,0.200000000000273,0.0199999999999818
512,20,0.2,1,TRUE,658818996.372877,0.289999999999964,0.0399999999999636
1024,20,0.2,1,TRUE,656885633.411089,0.590000000000146,0.0499999999997272
2048,20,0.2,1,TRUE,655026942.72696,1.26000000000022,0.110000000000127
2,23,0.2,1,TRUE,1328611968.04374,0.0299999999997453,0.0100000000002183
4,23,0.2,1,TRUE,1170275442.60056,0.0199999999999818,0.0300000000002001
8,23,0.2,1,TRUE,879208354.114146,0.0100000000002183,0.0199999999999818
16,23,0.2,1,TRUE,771432989.694432,0.0300000000002001,0.00999999999976353
32,23,0.2,1,TRUE,688845377.201219,0.0299999999997453,0.0300000000002001
64,23,0.2,1,TRUE,705643075.326408,0.0799999999999272,0.0299999999997453
128,23,0.2,1,TRUE,688899993.558054,0.0900000000001455,0.0199999999999818
256,23,0.2,1,TRUE,665259515.067113,0.200000000000273,0.0399999999999636
512,23,0.2,1,TRUE,655165407.279491,0.320000000000164,0.0300000000002001
1024,23,0.2,1,TRUE,654964323.404648,0.710000000000036,0.0399999999999636
2048,23,0.2,1,TRUE,655344744.215262,1.40000000000009,0.109999999999673
2,26,0.2,1,TRUE,1235239583.98885,0.0300000000002001,0.0300000000002001
4,26,0.2,1,TRUE,964235214.190716,0.0199999999999818,0.0199999999999818
8,26,0.2,1,TRUE,821769637.806255,0.0299999999997453,0.0199999999999818
16,26,0.2,1,TRUE,769408905.190642,0.0399999999999636,0.0100000000002183
32,26,0.2,1,TRUE,668898019.319617,0.0500000000001819,0.00999999999976353
64,26,0.2,1,TRUE,665605905.942497,0.0799999999999272,0.00999999999976353
128,26,0.2,1,TRUE,661162897.402151,0.130000000000109,0.0300000000002001
256,26,0.2,1,TRUE,669124635.901734,0.190000000000055,0.0300000000002001
512,26,0.2,1,TRUE,655139750.154591,0.400000000000091,0.0299999999997453
1024,26,0.2,1,TRUE,652504532.817273,0.769999999999982,0.0399999999999636
2048,26,0.2,1,TRUE,652763669.442389,1.47000000000025,0.0899999999996908
2,28,0.2,1,TRUE,1314246749.47717,0.0399999999999636,0.0199999999999818
4,28,0.2,1,TRUE,941304265.32523,0.0300000000002001,0.0199999999999818
8,28,0.2,1,TRUE,901002145.209015,0.0300000000002001,0.0100000000002183
16,28,0.2,1,TRUE,799428868.110801,0.0299999999997453,0.0300000000002001
32,28,0.2,1,TRUE,706024920.724969,0.0599999999999454,0.0299999999997453
64,28,0.2,1,TRUE,686784332.573451,0.0799999999999272,0.0100000000002183
128,28,0.2,1,TRUE,681705428.590994,0.130000000000109,0.0299999999997453
256,28,0.2,1,TRUE,642820466.686935,0.199999999999818,0.0300000000002001
512,28,0.2,1,TRUE,660180100.165939,0.400000000000091,0.0300000000002001
1024,28,0.2,1,TRUE,652216293.652,0.809999999999945,0.0399999999999636
2048,28,0.2,1,TRUE,650813355.752473,1.61000000000013,0.0999999999999091
2,30,0.2,1,TRUE,1407360975.61921,0.0399999999999636,0.0300000000002001
4,30,0.2,1,TRUE,986627705.420133,0.0300000000002001,0.0199999999999818
8,30,0.2,1,TRUE,895243115.385452,0.0300000000002001,0.00999999999976353
16,30,0.2,1,TRUE,780092198.744868,0.0299999999997453,0.0199999999999818
32,30,0.2,1,TRUE,696593224.514541,0.0399999999999636,0.0199999999999818
64,30,0.2,1,TRUE,705081600.843385,0.0600000000004002,0.0100000000002183
128,30,0.2,1,TRUE,676663199.691181,0.129999999999654,0.0100000000002183
256,30,0.2,1,TRUE,661616482.381046,0.220000000000255,0.0100000000002183
512,30,0.2,1,TRUE,660172735.31536,0.4699999999998,0.0399999999999636
1024,30,0.2,1,TRUE,652792729.364205,1.10999999999967,0.0399999999999636
2048,30,0.2,1,TRUE,648092093.057103,1.69000000000005,0.110000000000127
2,40,0.2,1,TRUE,1243299438.02616,0.00999999999976353,0.0199999999999818
4,40,0.2,1,TRUE,953719868.091767,0.0300000000002001,0.0199999999999818
8,40,0.2,1,TRUE,868046100.539558,0.0300000000002001,0.00999999999976353
16,40,0.2,1,TRUE,779995085.682997,0.0500000000001819,0.0199999999999818
32,40,0.2,1,TRUE,748664775.689797,0.0399999999999636,0.0199999999999818
64,40,0.2,1,TRUE,707416162.301347,0.0899999999996908,0.0199999999999818
128,40,0.2,1,TRUE,678291037.242583,0.170000000000073,0.0399999999999636
256,40,0.2,1,TRUE,660531518.517784,0.260000000000218,0.0300000000002001
512,40,0.2,1,TRUE,652550827.582045,0.519999999999982,0.0300000000002001
1024,40,0.2,1,TRUE,651104663.326442,1.00999999999976,0.0499999999997272
2048,40,0.2,1,TRUE,655056541.410746,1.95000000000027,0.0900000000001455
2,60,0.2,1,TRUE,1369800194.42153,0.0299999999997453,0.0399999999999636
4,60,0.2,1,TRUE,961270133.545669,0.0299999999997453,0.0199999999999818
8,60,0.2,1,TRUE,852674656.349539,0.0500000000001819,0.0199999999999818
16,60,0.2,1,TRUE,817240356.834082,0.0399999999999636,0.0199999999999818
32,60,0.2,1,TRUE,725142142.708653,0.0799999999999272,0.00999999999976353
64,60,0.2,1,TRUE,709307793.005776,0.110000000000127,0.0100000000002183
128,60,0.2,1,TRUE,691722692.509896,0.210000000000036,0.0300000000002001
256,60,0.2,1,TRUE,668924062.029934,0.359999999999673,0.0199999999999818
512,60,0.2,1,TRUE,668994744.381128,0.800000000000182,0.0299999999997453
1024,60,0.2,1,TRUE,675509101.444426,1.38999999999987,0.0499999999997272
2048,60,0.2,1,TRUE,672914757.02479,2.72000000000025,0.0999999999999091
2,2,0.3,1,TRUE,1977475016.6061,0.0399999999999636,0.0300000000002001
4,2,0.3,1,TRUE,1396363812.96209,0.0300000000002001,0.0199999999999818
8,2,0.3,1,TRUE,1122890717.53785,0.0100000000002183,0.0199999999999818
16,2,0.3,1,TRUE,960817309.70261,0.0300000000002001,0.00999999999976353
32,2,0.3,1,TRUE,881773472.822353,0.0299999999997453,0.0199999999999818
64,2,0.3,1,TRUE,833215587.775363,0.0299999999997453,0.0100000000002183
128,2,0.3,1,TRUE,833320346.221426,0.0500000000001819,0.00999999999976353
256,2,0.3,1,TRUE,817257387.368307,0.0799999999999272,0.0199999999999818
512,2,0.3,1,TRUE,805312796.216037,0.119999999999891,0.0299999999997453
1024,2,0.3,1,TRUE,810123233.916753,0.2199999999998,0.0500000000001819
2048,2,0.3,1,TRUE,808877789.474637,0.460000000000036,0.0799999999999272
2,5,0.3,1,TRUE,1672118847.25844,0.0299999999997453,0.0100000000002183
4,5,0.3,1,TRUE,1173987870.10377,0.0300000000002001,0.0199999999999818
8,5,0.3,1,TRUE,1022955277.75312,0.0100000000002183,0.0199999999999818
16,5,0.3,1,TRUE,837498600.910284,0.0300000000002001,0.00999999999976353
32,5,0.3,1,TRUE,730225108.304513,0.0500000000001819,0.0199999999999818
64,5,0.3,1,TRUE,659152693.758497,0.0300000000002001,0.0300000000002001
128,5,0.3,1,TRUE,653072083.147952,0.0599999999999454,0.0100000000002183
256,5,0.3,1,TRUE,664888750.261992,0.139999999999873,0.0199999999999818
512,5,0.3,1,TRUE,652726525.165198,0.220000000000255,0.0299999999997453
1024,5,0.3,1,TRUE,658339703.060958,0.670000000000073,0.080000000000382
2048,5,0.3,1,TRUE,654902531.280113,0.980000000000018,0.159999999999854
2,10,0.3,1,TRUE,1393780725.18225,0.0300000000002001,0.0199999999999818
4,10,0.3,1,TRUE,864019949.87961,0.0399999999999636,0.0199999999999818
8,10,0.3,1,TRUE,801087218.376407,0.0399999999999636,0.0100000000002183
16,10,0.3,1,TRUE,680232284.897061,0.0300000000002001,0.0199999999999818
32,10,0.3,1,TRUE,646531977.191775,0.0299999999997453,0.0300000000002001
64,10,0.3,1,TRUE,624303800.253118,0.080000000000382,0.00999999999976353
128,10,0.3,1,TRUE,622277691.120284,0.0799999999999272,0.0300000000002001
256,10,0.3,1,TRUE,626251430.057739,0.160000000000309,0.0300000000002001
512,10,0.3,1,TRUE,625141537.633975,0.279999999999745,0.0299999999997453
1024,10,0.3,1,TRUE,629446407.985363,0.690000000000055,0.0799999999999272
2048,10,0.3,1,TRUE,630830284.471084,1.32999999999993,0.119999999999891
2,20,0.3,1,TRUE,1048742974.5819,0.0399999999999636,0.0199999999999818
4,20,0.3,1,TRUE,918200707.76458,0.0300000000002001,0.0199999999999818
8,20,0.3,1,TRUE,814686184.036289,0.0300000000002001,0.0100000000002183
16,20,0.3,1,TRUE,735765513.375067,0.0299999999997453,0.0199999999999818
32,20,0.3,1,TRUE,648355319.436332,0.0399999999999636,0.0100000000002183
64,20,0.3,1,TRUE,652650548.900526,0.0799999999999272,0.0199999999999818
128,20,0.3,1,TRUE,643761898.18859,0.120000000000346,0.0199999999999818
256,20,0.3,1,TRUE,630546303.021859,0.210000000000036,0.0299999999997453
512,20,0.3,1,TRUE,624568946.370168,0.440000000000055,0.0300000000002001
1024,20,0.3,1,TRUE,622338865.555423,0.829999999999927,0.0599999999999454
2048,20,0.3,1,TRUE,621129504.215762,1.87999999999965,0.119999999999891
2,23,0.3,1,TRUE,1218108687.49142,0.0300000000002001,0.0300000000002001
4,23,0.3,1,TRUE,1053280500.52659,0.0299999999997453,0.0199999999999818
8,23,0.3,1,TRUE,820790882.755628,0.0299999999997453,0.00999999999976353
16,23,0.3,1,TRUE,699732367.95537,0.0300000000002001,0.0199999999999818
32,23,0.3,1,TRUE,626844349.199251,0.0599999999999454,0.0199999999999818
64,23,0.3,1,TRUE,616011885.648413,0.0999999999999091,0.0100000000002183
128,23,0.3,1,TRUE,632984195.696025,0.140000000000327,0.0300000000002001
256,23,0.3,1,TRUE,611853239.200012,0.260000000000218,0.0199999999999818
512,23,0.3,1,TRUE,617085753.537192,0.480000000000018,0.0499999999997272
1024,23,0.3,1,TRUE,618777517.606687,1,0.0500000000001819
2048,23,0.3,1,TRUE,623403077.661354,1.83999999999969,0.110000000000127
2,26,0.3,1,TRUE,1133491503.90223,0.0299999999997453,0.0199999999999818
4,26,0.3,1,TRUE,891718258.007504,0.0300000000002001,0.0300000000002001
8,26,0.3,1,TRUE,735959507.96347,0.0300000000002001,0.0100000000002183
16,26,0.3,1,TRUE,686798503.424937,0.0499999999997272,0.0199999999999818
32,26,0.3,1,TRUE,647206768.537111,0.0700000000001637,0.0199999999999818
64,26,0.3,1,TRUE,628447095.97917,0.0900000000001455,0.00999999999976353
128,26,0.3,1,TRUE,634118766.945231,0.139999999999873,0.0199999999999818
256,26,0.3,1,TRUE,635587952.620624,0.279999999999745,0.0199999999999818
512,26,0.3,1,TRUE,615643529.967686,0.519999999999982,0.0500000000001819
1024,26,0.3,1,TRUE,620112143.30041,1.0300000000002,0.0399999999999636
2048,26,0.3,1,TRUE,617943987.858646,2.23000000000002,0.110000000000127
2,28,0.3,1,TRUE,1307380579.63765,0.0299999999997453,0.00999999999976353
4,28,0.3,1,TRUE,1043246419.51008,0.0300000000002001,0.0300000000002001
8,28,0.3,1,TRUE,891495366.845921,0.0300000000002001,0.0300000000002001
16,28,0.3,1,TRUE,818101669.990981,0.0499999999997272,0.0399999999999636
32,28,0.3,1,TRUE,726519803.988755,0.0500000000001819,0.0299999999997453
64,28,0.3,1,TRUE,680734109.443196,0.0900000000001455,0.0299999999997453
128,28,0.3,1,TRUE,667600356.169627,0.150000000000091,0.0399999999999636
256,28,0.3,1,TRUE,630151901.722849,0.339999999999691,0.0300000000002001
512,28,0.3,1,TRUE,622749031.248622,0.570000000000164,0.0500000000001819
1024,28,0.3,1,TRUE,622269972.571962,1.10999999999967,0.0700000000001637
2048,28,0.3,1,TRUE,623021439.454616,2.26000000000022,0.109999999999673
2,30,0.3,1,TRUE,1315091221.6428,0.0300000000002001,0.0300000000002001
4,30,0.3,1,TRUE,1038587663.74003,0.0199999999999818,0.0300000000002001
8,30,0.3,1,TRUE,930816489.028898,0.0299999999997453,0.0199999999999818
16,30,0.3,1,TRUE,784950355.10112,0.0399999999999636,0.0299999999997453
32,30,0.3,1,TRUE,702066774.285939,0.0599999999999454,0.0199999999999818
64,30,0.3,1,TRUE,642581543.951256,0.0999999999999091,0.0100000000002183
128,30,0.3,1,TRUE,649935008.340041,0.160000000000309,0.0100000000002183
256,30,0.3,1,TRUE,623043337.52683,0.319999999999709,0.0100000000002183
512,30,0.3,1,TRUE,619581030.956964,0.590000000000146,0.0499999999997272
1024,30,0.3,1,TRUE,624158296.416972,1.17000000000007,0.0599999999999454
2048,30,0.3,1,TRUE,621979313.109463,2.86000000000013,0.110000000000127
2,40,0.3,1,TRUE,937864188.082333,0.0300000000002001,0.0199999999999818
4,40,0.3,1,TRUE,843918402.367817,0.0299999999997453,0.0300000000002001
8,40,0.3,1,TRUE,792415243.517126,0.0300000000002001,0.00999999999976353
16,40,0.3,1,TRUE,718813691.845512,0.0500000000001819,0.0399999999999636
32,40,0.3,1,TRUE,650474707.044806,0.0599999999999454,0.00999999999976353
64,40,0.3,1,TRUE,674520138.151622,0.110000000000127,0.0199999999999818
128,40,0.3,1,TRUE,655100809.050341,0.210000000000036,0.0300000000002001
256,40,0.3,1,TRUE,640153917.690943,0.369999999999891,0.0199999999999818
512,40,0.3,1,TRUE,634646640.545012,0.700000000000273,0.0399999999999636
1024,40,0.3,1,TRUE,640769214.129046,1.4699999999998,0.0599999999999454
2048,40,0.3,1,TRUE,636731331.051845,3.52999999999975,0.130000000000109
2,60,0.3,1,TRUE,1241474888.21612,0.0299999999997453,0.0199999999999818
4,60,0.3,1,TRUE,892251355.421634,0.0300000000002001,0.0100000000002183
8,60,0.3,1,TRUE,821843588.890705,0.0299999999997453,0.0199999999999818
16,60,0.3,1,TRUE,760805186.19156,0.0500000000001819,0.0299999999997453
32,60,0.3,1,TRUE,699871250.904751,0.0799999999999272,0.0299999999997453
64,60,0.3,1,TRUE,649064231.565611,0.139999999999873,0.0199999999999818
128,60,0.3,1,TRUE,636486599.231397,0.269999999999982,0.0199999999999818
256,60,0.3,1,TRUE,649794690.896621,0.5300000000002,0.0199999999999818
512,60,0.3,1,TRUE,636699491.628603,0.989999999999782,0.0399999999999636
1024,60,0.3,1,TRUE,642397472.548902,1.9699999999998,0.0399999999999636
2048,60,0.3,1,TRUE,644155246.734959,4.61000000000013,0.110000000000127
2,2,0.4,1,TRUE,1856610060.87798,0.0299999999997453,0.0300000000002001
4,2,0.4,1,TRUE,1392537796.93893,0.0399999999999636,0.0100000000002183
8,2,0.4,1,TRUE,1079571237.7469,0.0300000000002001,0.0199999999999818
16,2,0.4,1,TRUE,1002223024.49991,0.0100000000002183,0.00999999999976353
32,2,0.4,1,TRUE,876373198.866043,0.0199999999999818,0.0299999999997453
64,2,0.4,1,TRUE,839051351.017652,0.0499999999997272,0.0199999999999818
128,2,0.4,1,TRUE,807510556.537555,0.0599999999999454,0.0299999999997453
256,2,0.4,1,TRUE,792746356.073282,0.0999999999999091,0.0299999999997453
512,2,0.4,1,TRUE,785507182.829298,0.139999999999873,0.0300000000002001
1024,2,0.4,1,TRUE,785669080.545867,0.260000000000218,0.0499999999997272
2048,2,0.4,1,TRUE,782194934.175482,0.480000000000018,0.0999999999999091
2,5,0.4,1,TRUE,1608318544.46829,0.00999999999976353,0.0299999999997453
4,5,0.4,1,TRUE,1181435712.79359,0.0299999999997453,0.00999999999976353
8,5,0.4,1,TRUE,862321179.643741,0.0300000000002001,0.0199999999999818
16,5,0.4,1,TRUE,710735939.541996,0.0100000000002183,0.0199999999999818
32,5,0.4,1,TRUE,636962764.180949,0.0300000000002001,0.0100000000002183
64,5,0.4,1,TRUE,635272425.721864,0.0499999999997272,0.0199999999999818
