"","num.trees","sample.fraction","mse","runtime_training","runtime_prediction"
"elapsed",500,0.632,532976878.288305,0.420000000000073,0.0599999999999454
"elapsed1",1000,0.632,530416220.920062,0.849999999999909,0.0799999999999272
"elapsed2",1500,0.632,519857465.222747,1.13999999999987,0.0899999999996908
"elapsed3",500,0.8,527096836.906481,0.4399999999996,0.0500000000001819
"elapsed4",1000,0.8,512561588.367813,0.7800000000002,0.0599999999999454
"elapsed5",1500,0.8,510695565.577291,1.25,0.110000000000127
"elapsed6",500,1,502577524.970865,0.480000000000018,0.0499999999997272
"elapsed7",1000,1,504665330.989666,1.01000000000022,0.0799999999999272
"elapsed8",1500,1,505146897.250482,1.42000000000007,0.110000000000127
