"num.trees","mtry","sample.fraction","min.node.size","replace","MSE"
1000,2,0.6,5,TRUE,750709812.587586
1500,2,0.6,5,TRUE,745954655.959439
500,3,0.6,5,TRUE,658523834.332088
1000,3,0.6,5,TRUE,649202492.491638
1500,3,0.6,5,TRUE,649081182.316127
500,4,0.6,5,TRUE,609508674.799569
1000,4,0.6,5,TRUE,602142797.822394
1500,4,0.6,5,TRUE,604750763.179669
500,2,0.7,5,TRUE,726074429.176141
1000,2,0.7,5,TRUE,712200217.852448
1500,2,0.7,5,TRUE,711535514.637908
500,3,0.7,5,TRUE,638428496.550172
1000,3,0.7,5,TRUE,630699622.133376
1500,3,0.7,5,TRUE,626397664.266385
500,4,0.7,5,TRUE,589162331.481554
1000,4,0.7,5,TRUE,586691895.785619
1500,4,0.7,5,TRUE,594612446.28568
500,2,0.8,5,TRUE,713953256.221017
1000,2,0.8,5,TRUE,718692316.147424
1500,2,0.8,5,TRUE,717458404.449191
500,3,0.8,5,TRUE,630578464.355399
1000,3,0.8,5,TRUE,630022689.327736
1500,3,0.8,5,TRUE,621898267.311533
500,4,0.8,5,TRUE,602901472.725828
1000,4,0.8,5,TRUE,594928905.337692
1500,4,0.8,5,TRUE,595401414.595794
500,2,0.9,5,TRUE,715549449.633854
1000,2,0.9,5,TRUE,712990977.112789
1500,2,0.9,5,TRUE,711872903.826585
500,3,0.9,5,TRUE,622773925.444282
1000,3,0.9,5,TRUE,610038743.330393
1500,3,0.9,5,TRUE,610970958.703548
500,4,0.9,5,TRUE,580514189.143366
1000,4,0.9,5,TRUE,574217040.346089
1500,4,0.9,5,TRUE,573673109.451332
500,2,1,5,TRUE,709539229.276321
1000,2,1,5,TRUE,696939970.650515
1500,2,1,5,TRUE,691989619.777667
500,3,1,5,TRUE,611517154.218945
1000,3,1,5,TRUE,603674209.665099
1500,3,1,5,TRUE,603936246.432028
500,4,1,5,TRUE,567165142.468536
1000,4,1,5,TRUE,563796759.669631
1500,4,1,5,TRUE,560809751.070429
500,2,0.5,10,TRUE,791070759.275085
1000,2,0.5,10,TRUE,789781246.425238
1500,2,0.5,10,TRUE,789562724.656208
500,3,0.5,10,TRUE,698694269.703796
1000,3,0.5,10,TRUE,687779628.964854
1500,3,0.5,10,TRUE,685370041.362545
500,4,0.5,10,TRUE,659390736.977695
1000,4,0.5,10,TRUE,657961969.24498
1500,4,0.5,10,TRUE,656922719.63303
500,2,0.6,10,TRUE,776720477.795467
1000,2,0.6,10,TRUE,768595858.664417
1500,2,0.6,10,TRUE,769783840.318971
500,3,0.6,10,TRUE,680523595.563435
1000,3,0.6,10,TRUE,674948061.395357
1500,3,0.6,10,TRUE,675097530.081779
500,4,0.6,10,TRUE,630784028.934581
1000,4,0.6,10,TRUE,627454965.955174
1500,4,0.6,10,TRUE,627858733.489417
500,2,0.7,10,TRUE,748342064.936626
1000,2,0.7,10,TRUE,743874664.552146
1500,2,0.7,10,TRUE,743927063.498262
500,3,0.7,10,TRUE,656578869.97828
1000,3,0.7,10,TRUE,655863370.577521
1500,3,0.7,10,TRUE,651903581.409012
500,4,0.7,10,TRUE,615337214.471933
1000,4,0.7,10,TRUE,607587824.319845
1500,4,0.7,10,TRUE,611123376.487605
500,2,0.8,10,TRUE,737305646.233301
1000,2,0.8,10,TRUE,739852826.023898
1500,2,0.8,10,TRUE,740728834.506266
500,3,0.8,10,TRUE,655199520.711981
1000,3,0.8,10,TRUE,651435087.831294
1500,3,0.8,10,TRUE,644831470.627874
500,4,0.8,10,TRUE,607400729.828472
1000,4,0.8,10,TRUE,605219586.359986
1500,4,0.8,10,TRUE,604108165.97736
500,2,0.9,10,TRUE,714951263.753412
1000,2,0.9,10,TRUE,723850376.40542
