sample.fraction,replace,MSE,runtime_training,runtime_prediction
0.16,1.0,709137660.615281,0.130000000001019,0.0299999999988358
0.16,0.0,692930599.09757,0.150000000001455,0.0400000000008731
0.17,1.0,686406520.379577,0.139999999999418,0.0300000000024738
0.17,0.0,685785012.291927,0.139999999999418,0.0100000000020373
0.18,1.0,678524809.574551,0.130000000001019,0.0300000000024738
0.18,0.0,677283158.098818,0.119999999998981,0.0400000000008731
0.19,1.0,673983409.533632,0.139999999999418,0.0299999999988358
0.19,0.0,666112404.468858,0.139999999999418,0.0299999999988358
0.2,1.0,680945812.895493,0.139999999999418,0.0299999999988358
0.2,0.0,669226636.886746,0.150000000001455,0.0400000000008731
0.21,1.0,672735904.998798,0.119999999998981,0.0300000000024738
0.21,0.0,671744049.954057,0.139999999999418,0.0299999999988358
0.22,1.0,653811229.524172,0.159999999999854,0.0400000000008731
0.22,0.0,654637796.004375,0.159999999999854,0.0299999999988358
0.23,1.0,653962662.099318,0.159999999999854,0.0299999999988358
0.23,0.0,652950221.398125,0.150000000001455,0.0400000000008731
0.24,1.0,660406813.345193,0.150000000001455,0.0299999999988358
0.24,0.0,649236542.28384,0.149999999997817,0.0400000000008731
0.25,1.0,672719791.268818,0.170000000001892,0.0300000000024738
0.25,0.0,640781340.898611,0.150000000001455,0.0499999999992724
0.26,1.0,653219058.864717,0.149999999997817,0.0300000000024738
0.26,0.0,645520507.08047,0.170000000001892,0.0299999999988358
0.27,1.0,651243429.001964,0.159999999999854,0.0299999999988358
0.27,0.0,629365709.739644,0.150000000001455,0.0299999999988358
0.28,1.0,650069271.798708,0.169999999998254,0.0300000000024738
0.28,0.0,630416182.549767,0.169999999998254,0.0400000000008731
0.29,1.0,645810747.206035,0.169999999998254,0.0300000000024738
0.29,0.0,622161088.213706,0.18999999999869,0.0299999999988358
0.3,1.0,651458844.443188,0.180000000000291,0.0299999999988358
0.3,0.0,624118027.924354,0.18999999999869,0.0299999999988358
0.31,1.0,641183437.601319,0.18999999999869,0.0299999999988358
0.31,0.0,617869083.546703,0.180000000000291,0.0299999999988358
0.32,1.0,643898633.796199,0.190000000002328,0.0300000000024738
0.32,0.0,608671147.759092,0.18999999999869,0.0299999999988358
0.33,1.0,635849282.604693,0.180000000000291,0.0299999999988358
0.33,0.0,611079962.644755,0.200000000000728,0.0299999999988358
0.34,1.0,625589885.432884,0.18999999999869,0.0299999999988358
0.34,0.0,613719758.910707,0.200000000000728,0.0400000000008731
0.35,1.0,632157812.420449,0.200000000000728,0.0299999999988358
0.35,0.0,612038607.311171,0.219999999997526,0.0300000000024738
0.36,1.0,613125347.130978,0.209999999999127,0.0299999999988358
0.36,0.0,602373628.547543,0.219999999997526,0.0299999999988358
0.37,1.0,623506227.097015,0.200000000000728,0.0299999999988358
0.37,0.0,605088371.048691,0.209999999999127,0.0499999999992724
0.38,1.0,625991092.070152,0.200000000000728,0.0299999999988358
0.38,0.0,605572186.767651,0.220000000001164,0.0300000000024738
0.39,1.0,631852718.704725,0.220000000001164,0.0299999999988358
0.39,0.0,594178742.615545,0.219999999997526,0.0299999999988358
0.4,1.0,622443948.136055,0.219999999997526,0.0300000000024738
0.4,0.0,594156456.906597,0.229999999999563,0.0300000000024738
0.41,1.0,620296235.538135,0.220000000001164,0.0400000000008731
0.41,0.0,592772282.965559,0.220000000001164,0.0400000000008731
0.42,1.0,608935518.197961,0.220000000001164,0.0300000000024738
0.42,0.0,593019298.02802,0.220000000001164,0.0400000000008731
0.43,1.0,617664263.263659,0.220000000001164,0.0400000000008731
0.43,0.0,583261867.076945,0.229999999999563,0.0300000000024738
0.44,1.0,617242280.10409,0.220000000001164,0.0300000000024738
0.44,0.0,587942690.477364,0.229999999999563,0.0300000000024738
0.45,1.0,603238575.980723,0.219999999997526,0.0499999999992724
0.45,0.0,583845264.818423,0.239999999997963,0.0400000000008731
0.46,1.0,609681316.306693,0.229999999999563,0.0499999999992724
0.46,0.0,579638463.393096,0.25,0.0299999999988358
0.47,1.0,600878103.115604,0.229999999999563,0.0299999999988358
0.47,0.0,570791089.777788,0.25,0.0299999999988358
0.48,1.0,590743435.69712,0.25,0.0300000000024738
0.48,0.0,563505230.784304,0.25,0.0300000000024738
0.49,1.0,604360003.468019,0.25,0.0499999999992724
0.49,0.0,571496004.520023,0.25,0.0400000000008731
0.5,1.0,598473127.682513,0.270000000000437,0.0299999999988358
0.5,0.0,568458024.864418,0.270000000000437,0.0299999999988358
0.51,1.0,607995699.410624,0.229999999999563,0.0300000000024738
0.51,0.0,557678766.453863,0.270000000000437,0.0400000000008731
0.52,1.0,587545611.715511,0.270000000000437,0.0400000000008731
0.52,0.0,562393285.191358,0.280000000002474,0.0299999999988358
0.53,1.0,583240626.943898,0.270000000000437,0.0299999999988358
0.53,0.0,555939499.456608,0.270000000000437,0.0299999999988358
0.54,1.0,589237562.253677,0.25,0.0400000000008731
0.54,0.0,551761020.353459,0.279999999998836,0.0499999999992724
0.55,1.0,599669428.985509,0.25,0.0500000000029104
0.55,0.0,552033156.406203,0.279999999998836,0.0299999999988358
0.56,1.0,584622654.038741,0.279999999998836,0.0299999999988358
0.56,0.0,545873399.07657,0.299999999999272,0.0400000000008731
0.57,1.0,595486651.825751,0.280000000002474,0.0300000000024738
0.57,0.0,542532314.394626,0.290000000000873,0.0499999999992724
0.58,1.0,580099440.898975,0.259999999998399,0.0300000000024738
0.58,0.0,539352712.774199,0.280000000002474,0.0400000000008731
0.59,1.0,597692804.343285,0.299999999999272,0.0299999999988358
0.59,0.0,546627445.323539,0.330000000001746,0.0400000000008731
0.6,1.0,581423219.469022,0.349999999998545,0.0300000000024738
0.6,0.0,541403772.805999,0.360000000000582,0.0499999999992724
0.61,1.0,582750146.647939,0.340000000000146,0.0299999999988358
