mtry,min.node.size,MSE,runtime_training,runtime_prediction
1.0,1.0,1216720251.88882,0.110000000000582,0.0400000000008731
1.0,2.0,1216007256.91347,0.0900000000001455,0.0299999999988358
1.0,3.0,1224905221.79752,0.0900000000001455,0.0400000000008731
1.0,4.0,1240722705.44669,0.0900000000001455,0.0299999999988358
1.0,5.0,1228780723.14325,0.110000000000582,0.0299999999988358
1.0,6.0,1221409760.46108,0.110000000000582,0.0299999999988358
1.0,7.0,1222088581.05258,0.0900000000001455,0.0299999999988358
1.0,8.0,1215461698.5423,0.110000000000582,0.0300000000024738
1.0,9.0,1211559986.81482,0.0999999999985448,0.0300000000024738
1.0,10.0,1225164051.5892,0.110000000000582,0.0299999999988358
1.0,11.0,1226799625.45763,0.109999999996944,0.0300000000024738
1.0,12.0,1230090895.74128,0.110000000000582,0.0299999999988358
1.0,13.0,1237600009.73181,0.0900000000001455,0.0300000000024738
1.0,14.0,1229935645.89175,0.0900000000001455,0.0299999999988358
1.0,15.0,1225917036.9444,0.0999999999985448,0.0299999999988358
1.0,16.0,1228265225.06671,0.0999999999985448,0.0299999999988358
1.0,17.0,1230650587.2318,0.110000000000582,0.0200000000004366
1.0,18.0,1237230871.70588,0.110000000000582,0.0299999999988358
1.0,19.0,1240890314.71355,0.0900000000001455,0.0299999999988358
1.0,20.0,1246411095.83157,0.0900000000001455,0.0299999999988358
1.0,21.0,1242683020.88352,0.100000000002183,0.0300000000024738
1.0,22.0,1255140360.04407,0.110000000000582,0.0299999999988358
1.0,23.0,1259437423.7272,0.0900000000001455,0.0299999999988358
1.0,24.0,1256781574.16281,0.0900000000001455,0.0300000000024738
1.0,25.0,1254451803.07971,0.0800000000017462,0.0300000000024738
1.0,26.0,1251784575.77199,0.0800000000017462,0.0200000000004366
1.0,27.0,1247778904.37013,0.0900000000001455,0.0400000000008731
1.0,28.0,1256654400.08304,0.0900000000001455,0.0299999999988358
1.0,29.0,1271967303.41932,0.0900000000001455,0.0299999999988358
1.0,30.0,1274879941.10565,0.100000000002183,0.0100000000020373
1.0,31.0,1274616035.41034,0.109999999996944,0.0300000000024738
1.0,32.0,1272815249.09347,0.0999999999985448,0.0299999999988358
1.0,33.0,1273728378.35878,0.0799999999981083,0.0299999999988358
1.0,34.0,1272749775.91803,0.0799999999981083,0.0299999999988358
1.0,35.0,1273094806.6775,0.0900000000001455,0.0299999999988358
1.0,36.0,1278172807.03564,0.0900000000001455,0.0099999999983992
1.0,37.0,1278914248.15912,0.0900000000001455,0.0299999999988358
1.0,38.0,1278601785.19391,0.109999999996944,0.0300000000024738
1.0,39.0,1285045468.6872,0.0900000000001455,0.0300000000024738
1.0,40.0,1295232040.96844,0.0800000000017462,0.0200000000004366
1.0,41.0,1293856995.4821,0.0900000000001455,0.0400000000008731
1.0,42.0,1291635302.36702,0.0900000000001455,0.0299999999988358
1.0,43.0,1285182006.43476,0.0799999999981083,0.0300000000024738
1.0,44.0,1287672449.69903,0.0999999999985448,0.0299999999988358
1.0,45.0,1277955280.45134,0.0999999999985448,0.0299999999988358
1.0,46.0,1281381166.21113,0.0799999999981083,0.0299999999988358
1.0,47.0,1288195386.75575,0.0900000000001455,0.0099999999983992
1.0,48.0,1287971943.10818,0.0900000000001455,0.0299999999988358
1.0,49.0,1281662372.90981,0.0799999999981083,0.0299999999988358
1.0,50.0,1292401854.03735,0.0999999999985448,0.0099999999983992
2.0,1.0,690062933.25187,0.200000000000728,0.0499999999992724
2.0,2.0,693229780.974863,0.490000000001601,0.0499999999992724
2.0,3.0,698146060.905848,0.279999999998836,0.0300000000024738
2.0,4.0,704045149.560933,0.209999999999127,0.0299999999988358
2.0,5.0,709539229.276321,0.170000000001892,0.0499999999992724
2.0,6.0,701722113.99932,0.25,0.0299999999988358
2.0,7.0,714985101.547221,0.229999999999563,0.0299999999988358
2.0,8.0,714751948.178762,0.170000000001892,0.0400000000008731
2.0,9.0,727081841.319187,0.159999999999854,0.0299999999988358
2.0,10.0,722897749.872663,0.159999999999854,0.0299999999988358
2.0,11.0,718090232.522317,0.159999999999854,0.0400000000008731
2.0,12.0,725590033.161577,0.159999999999854,0.0299999999988358
2.0,13.0,736000946.795385,0.139999999999418,0.0299999999988358
2.0,14.0,735201623.038129,0.209999999999127,0.0300000000024738
2.0,15.0,731618318.835174,0.279999999998836,0.0400000000008731
2.0,16.0,733212085.194276,0.139999999999418,0.0299999999988358
2.0,17.0,738048940.630325,0.139999999999418,0.0299999999988358
2.0,18.0,743067310.463723,0.139999999999418,0.0299999999988358
2.0,19.0,750356862.486527,0.150000000001455,0.0400000000008731
2.0,20.0,758173215.057293,0.240000000001601,0.0400000000008731
2.0,21.0,757412802.788239,0.130000000001019,0.0299999999988358
2.0,22.0,760565564.530617,0.140000000003056,0.0300000000024738
2.0,23.0,764032118.208871,0.120000000002619,0.0299999999988358
2.0,24.0,767812098.521684,0.169999999998254,0.0299999999988358
2.0,25.0,767228993.92045,0.139999999999418,0.0299999999988358
2.0,26.0,764983709.197657,0.139999999999418,0.0300000000024738
2.0,27.0,758136303.371443,0.170000000001892,0.0299999999988358
2.0,28.0,773804323.07401,0.130000000001019,0.0299999999988358
2.0,29.0,782071098.010076,0.119999999998981,0.0299999999988358
2.0,30.0,785016078.718685,0.180000000000291,0.0299999999988358
2.0,31.0,779645210.964094,0.119999999998981,0.0299999999988358
2.0,32.0,784921059.831484,0.119999999998981,0.0400000000008731
2.0,33.0,786300458.144472,0.18999999999869,0.0300000000024738
2.0,34.0,789221183.870407,0.180000000000291,0.0400000000008731
2.0,35.0,795136111.201382,0.130000000001019,0.0299999999988358
2.0,36.0,799631152.523612,0.110000000000582,0.0299999999988358
2.0,37.0,799048124.329714,0.119999999998981,0.0300000000024738
2.0,38.0,809571396.083462,0.120000000002619,0.0300000000024738
2.0,39.0,812171115.487936,0.110000000000582,0.0199999999967986
2.0,40.0,815189081.006236,0.18999999999869,0.0299999999988358
2.0,41.0,817511288.403787,0.139999999999418,0.0400000000008731
2.0,42.0,821259308.80383,0.140000000003056,0.0300000000024738
2.0,43.0,821028933.492864,0.119999999998981,0.0299999999988358
2.0,44.0,825507604.865243,0.110000000000582,0.0300000000024738
2.0,45.0,826775949.193293,0.110000000000582,0.0299999999988358
2.0,46.0,827765519.258755,0.159999999999854,0.0400000000008731
2.0,47.0,833547622.344298,0.110000000000582,0.0299999999988358
2.0,48.0,833217819.166654,0.110000000000582,0.0299999999988358
2.0,49.0,832315931.06483,0.110000000000582,0.0299999999988358
2.0,50.0,831152654.119935,0.110000000000582,0.0299999999988358
3.0,1.0,583369857.968816,0.290000000000873,0.0499999999992724
3.0,2.0,594495724.647687,0.290000000000873,0.0400000000008731
3.0,3.0,597771940.344763,0.260000000002037,0.0299999999988358
3.0,4.0,599586856.675217,0.25,0.0299999999988358
3.0,5.0,611517154.218945,0.340000000000146,0.0499999999992724
3.0,6.0,601348993.96059,0.470000000001164,0.0499999999992724
3.0,7.0,587717085.655264,0.220000000001164,0.0299999999988358
3.0,8.0,597686167.534006,0.219999999997526,0.0300000000024738
3.0,9.0,593891328.16632,0.299999999999272,0.0299999999988358
3.0,10.0,605759131.353757,0.200000000000728,0.0299999999988358
3.0,11.0,612414847.442397,0.209999999999127,0.0300000000024738
3.0,12.0,617327514.311923,0.18999999999869,0.0499999999992724
3.0,13.0,625860170.902745,0.169999999998254,0.0499999999992724
3.0,14.0,630560745.588607,0.18999999999869,0.0299999999988358
3.0,15.0,629357676.590316,0.239999999997963,0.0400000000008731
3.0,16.0,634564173.624172,0.169999999998254,0.0299999999988358
3.0,17.0,631509821.667118,0.279999999998836,0.0299999999988358
3.0,18.0,641591707.413638,0.169999999998254,0.0400000000008731
3.0,19.0,644451077.904737,0.220000000001164,0.0499999999992724
3.0,20.0,644503216.661848,0.159999999999854,0.0299999999988358
3.0,21.0,643363379.721825,0.269999999996799,0.0300000000024738
3.0,22.0,650564543.989732,0.159999999999854,0.0299999999988358
3.0,23.0,656860986.459438,0.149999999997817,0.0300000000024738
3.0,24.0,663384404.65502,0.150000000001455,0.0299999999988358
3.0,25.0,662164160.237759,0.150000000001455,0.0400000000008731
3.0,26.0,663649989.818548,0.159999999999854,0.0299999999988358
3.0,27.0,667739257.200132,0.159999999999854,0.0299999999988358
3.0,28.0,665718969.511549,0.150000000001455,0.0299999999988358
3.0,29.0,671704842.682326,0.139999999999418,0.0299999999988358
3.0,30.0,675568457.598297,0.139999999999418,0.0299999999988358
3.0,31.0,682609658.876773,0.139999999999418,0.0299999999988358
3.0,32.0,685859977.306192,0.139999999999418,0.0400000000008731
3.0,33.0,684737932.808732,0.139999999999418,0.0300000000024738
3.0,34.0,689478556.454461,0.18999999999869,0.0299999999988358
3.0,35.0,689725430.897314,0.180000000000291,0.0300000000024738
3.0,36.0,688446403.111936,0.139999999999418,0.0400000000008731
3.0,37.0,696839987.730192,0.139999999999418,0.0299999999988358
3.0,38.0,703557468.220983,0.180000000000291,0.0299999999988358
3.0,39.0,708096815.302958,0.139999999999418,0.0299999999988358
3.0,40.0,712655565.297199,0.139999999999418,0.0299999999988358
3.0,41.0,717176621.1718,0.129999999997381,0.0299999999988358
3.0,42.0,719756148.962749,0.139999999999418,0.0299999999988358
3.0,43.0,722089396.666626,0.119999999998981,0.0299999999988358
3.0,44.0,725837966.049036,0.169999999998254,0.0300000000024738
3.0,45.0,732159420.681889,0.120000000002619,0.0300000000024738
3.0,46.0,735824705.106064,0.120000000002619,0.0299999999988358
3.0,47.0,740167329.28571,0.149999999997817,0.0400000000008731
3.0,48.0,742023147.69015,0.130000000001019,0.0299999999988358
3.0,49.0,749041473.234902,0.110000000000582,0.0299999999988358
3.0,50.0,746805887.402384,0.159999999999854,0.0300000000024738
4.0,1.0,555070001.093928,0.389999999999418,0.0499999999992724
4.0,2.0,560558979.798566,0.389999999999418,0.0900000000001455
4.0,3.0,562387395.409531,0.340000000000146,0.0499999999992724
4.0,4.0,564739415.584936,0.319999999999709,0.0499999999992724
4.0,5.0,567165142.468536,0.279999999998836,0.0500000000029104
4.0,6.0,568083047.2292,0.270000000000437,0.0299999999988358
4.0,7.0,569526211.95541,0.25,0.0499999999992724
4.0,8.0,563699094.848623,0.229999999999563,0.0499999999992724
4.0,9.0,564682883.593625,0.240000000001601,0.0400000000008731
4.0,10.0,580162601.270365,0.229999999999563,0.0300000000024738
4.0,11.0,585317773.274262,0.290000000000873,0.0499999999992724
4.0,12.0,586176900.25726,0.209999999999127,0.0299999999988358
4.0,13.0,584364368.333846,0.200000000000728,0.0499999999992724
4.0,14.0,595829372.286165,0.209999999999127,0.0299999999988358
4.0,15.0,601391809.222582,0.209999999999127,0.0299999999988358
4.0,16.0,603851817.546866,0.180000000000291,0.0400000000008731
4.0,17.0,599551359.904776,0.25,0.0299999999988358
4.0,18.0,607041245.256549,0.180000000000291,0.0299999999988358
4.0,19.0,606569980.900764,0.180000000000291,0.0299999999988358
4.0,20.0,611856300.237044,0.18999999999869,0.0299999999988358
4.0,21.0,607857202.669295,0.180000000000291,0.0299999999988358
4.0,22.0,613885456.454671,0.169999999998254,0.0299999999988358
4.0,23.0,621609185.285077,0.180000000000291,0.0299999999988358
4.0,24.0,627823977.177154,0.169999999998254,0.0299999999988358
4.0,25.0,624927737.635706,0.170000000001892,0.0300000000024738
4.0,26.0,622429392.350302,0.159999999999854,0.0299999999988358
4.0,27.0,623514484.476243,0.159999999999854,0.0300000000024738
4.0,28.0,628796998.545066,0.180000000000291,0.0400000000008731
4.0,29.0,628891967.826164,0.159999999999854,0.0299999999988358
4.0,30.0,630758326.581469,0.149999999997817,0.0400000000008731
4.0,31.0,639761369.234398,0.159999999999854,0.0299999999988358
4.0,32.0,648707525.695248,0.159999999999854,0.0200000000004366
4.0,33.0,655536586.139673,0.18999999999869,0.0299999999988358
4.0,34.0,652491100.802857,0.169999999998254,0.0299999999988358
4.0,35.0,655242583.726258,0.159999999999854,0.0299999999988358
4.0,36.0,660443268.25212,0.150000000001455,0.0299999999988358
4.0,37.0,661808864.103792,0.149999999997817,0.0400000000008731
4.0,38.0,666888781.384978,0.150000000001455,0.0200000000004366
4.0,39.0,667874328.035211,0.159999999999854,0.0300000000024738
4.0,40.0,672843139.376731,0.159999999999854,0.0299999999988358
4.0,41.0,674209419.49015,0.139999999999418,0.0400000000008731
4.0,42.0,674559512.146208,0.140000000003056,0.0300000000024738
