num.trees,replace,MSE,runtime_training,runtime_prediction
1.0,1.0,1805778064.00789,0.0300000000024738,0.0200000000004366
1.0,0.0,1523437390.68586,0.0299999999988358,0.0199999999967986
2.0,1.0,1190989951.96305,0.0299999999988358,0.0200000000004366
2.0,0.0,1064147459.30808,0.0300000000024738,0.0100000000020373
3.0,1.0,888077333.97387,0.0299999999988358,0.0200000000004366
3.0,0.0,903644302.841408,0.0299999999988358,0.0199999999967986
4.0,1.0,800796391.772862,0.0299999999988358,0.0200000000004366
4.0,0.0,773566937.164934,0.0300000000024738,0.0100000000020373
5.0,1.0,698134041.305948,0.0299999999988358,0.0200000000004366
5.0,0.0,730713094.037393,0.0299999999988358,0.0199999999967986
6.0,1.0,689335758.378964,0.0299999999988358,0.0299999999988358
6.0,0.0,729253148.257169,0.0299999999988358,0.0300000000024738
7.0,1.0,685917211.081104,0.0300000000024738,0.0200000000004366
7.0,0.0,729453119.213666,0.0299999999988358,0.0299999999988358
8.0,1.0,653574458.684104,0.0299999999988358,0.0200000000004366
8.0,0.0,717983943.382257,0.0300000000024738,0.0300000000024738
9.0,1.0,642650280.808103,0.0299999999988358,0.0200000000004366
9.0,0.0,688056411.60847,0.0299999999988358,0.0199999999967986
10.0,1.0,598817621.346003,0.0499999999992724,0.0400000000008731
10.0,0.0,679078132.837895,0.0499999999992724,0.0200000000004366
11.0,1.0,605397557.415552,0.0299999999988358,0.0099999999983992
11.0,0.0,653396327.502961,0.0300000000024738,0.0100000000020373
12.0,1.0,570628133.171953,0.0400000000008731,0.0200000000004366
12.0,0.0,615962581.577882,0.0299999999988358,0.0200000000004366
13.0,1.0,567444410.138481,0.0299999999988358,0.0099999999983992
13.0,0.0,601378155.157158,0.0500000000029104,0.0200000000004366
14.0,1.0,558129937.261626,0.0499999999992724,0.0200000000004366
14.0,0.0,599923691.869584,0.0300000000024738,0.0200000000004366
15.0,1.0,554674757.461035,0.0499999999992724,0.0299999999988358
15.0,0.0,618035414.998093,0.0499999999992724,0.0299999999988358
16.0,1.0,547885632.455909,0.0499999999992724,0.0200000000004366
16.0,0.0,609689242.255694,0.0299999999988358,0.0099999999983992
17.0,1.0,547390639.629912,0.0500000000029104,0.0200000000004366
17.0,0.0,611237907.834311,0.0299999999988358,0.0299999999988358
18.0,1.0,527864472.984497,0.0499999999992724,0.0200000000004366
18.0,0.0,611371732.036072,0.0299999999988358,0.0100000000020373
19.0,1.0,525320800.321592,0.0499999999992724,0.0200000000004366
19.0,0.0,613194227.137586,0.0499999999992724,0.0300000000024738
20.0,1.0,533889985.317923,0.0499999999992724,0.0200000000004366
20.0,0.0,598017884.967617,0.0400000000008731,0.0099999999983992
21.0,1.0,516171349.172889,0.0400000000008731,0.0300000000024738
21.0,0.0,596216930.115426,0.0400000000008731,0.0200000000004366
22.0,1.0,525034328.897418,0.0400000000008731,0.0100000000020373
22.0,0.0,608666781.798602,0.0499999999992724,0.0099999999983992
23.0,1.0,527225749.120382,0.0499999999992724,0.0200000000004366
23.0,0.0,585656873.798203,0.0499999999992724,0.0199999999967986
24.0,1.0,540882612.674497,0.0599999999976717,0.0099999999983992
24.0,0.0,569764163.232157,0.0299999999988358,0.0299999999988358
25.0,1.0,549183626.884401,0.069999999999709,0.0199999999967986
25.0,0.0,560870617.981008,0.0499999999992724,0.0400000000008731
26.0,1.0,553179098.304057,0.0600000000013097,0.0299999999988358
26.0,0.0,558725539.437541,0.0499999999992724,0.0300000000024738
27.0,1.0,562979484.928659,0.0499999999992724,0.0299999999988358
27.0,0.0,551779920.694038,0.0499999999992724,0.0200000000004366
28.0,1.0,574667011.420378,0.0499999999992724,0.0300000000024738
28.0,0.0,555950950.850984,0.0400000000008731,0.0099999999983992
29.0,1.0,564842722.433117,0.0599999999976717,0.0200000000004366
29.0,0.0,555506831.026802,0.0499999999992724,0.0200000000004366
30.0,1.0,555723755.336999,0.0400000000008731,0.0099999999983992
30.0,0.0,553392861.935864,0.0400000000008731,0.0100000000020373
31.0,1.0,566880884.003726,0.069999999999709,0.0299999999988358
31.0,0.0,546189694.860741,0.0300000000024738,0.0299999999988358
32.0,1.0,564514032.125515,0.0600000000013097,0.0100000000020373
32.0,0.0,552481309.072735,0.0499999999992724,0.0200000000004366
33.0,1.0,567969985.977974,0.0600000000013097,0.0200000000004366
33.0,0.0,558151488.051962,0.0499999999992724,0.0200000000004366
34.0,1.0,563305992.284901,0.0599999999976717,0.0300000000024738
34.0,0.0,563048930.760002,0.0499999999992724,0.0200000000004366
35.0,1.0,566734054.329911,0.0599999999976717,0.0200000000004366
35.0,0.0,565181612.853528,0.0499999999992724,0.0200000000004366
36.0,1.0,565708394.214144,0.0600000000013097,0.0200000000004366
36.0,0.0,568038186.434213,0.0499999999992724,0.0200000000004366
37.0,1.0,556358862.411665,0.0599999999976717,0.0199999999967986
37.0,0.0,563236654.40226,0.0599999999976717,0.0099999999983992
38.0,1.0,554387991.735438,0.0599999999976717,0.0400000000008731
38.0,0.0,566847009.730153,0.0400000000008731,0.0100000000020373
39.0,1.0,551407355.363282,0.069999999999709,0.0200000000004366
39.0,0.0,553116655.086316,0.0400000000008731,0.0200000000004366
40.0,1.0,555053135.599211,0.0600000000013097,0.0299999999988358
40.0,0.0,551665012.673708,0.0400000000008731,0.0300000000024738
41.0,1.0,560903539.793874,0.0800000000017462,0.0299999999988358
41.0,0.0,557102168.317511,0.0400000000008731,0.0299999999988358
42.0,1.0,564341324.177953,0.0600000000013097,0.0299999999988358
42.0,0.0,556711938.693881,0.069999999999709,0.0199999999967986
43.0,1.0,559067571.091461,0.0599999999976717,0.0299999999988358
43.0,0.0,564276747.109168,0.0599999999976717,0.0200000000004366
44.0,1.0,561877150.442392,0.0600000000013097,0.0299999999988358
44.0,0.0,563712768.536905,0.0799999999981083,0.0300000000024738
45.0,1.0,565842495.972991,0.0799999999981083,0.0300000000024738
45.0,0.0,559396498.662162,0.0499999999992724,0.0200000000004366
46.0,1.0,560765190.804796,0.0800000000017462,0.0299999999988358
46.0,0.0,550384611.881474,0.069999999999709,0.0199999999967986
