"mtry","mse","runtime_training","runtime_prediction"
1,1671201391.19427,0.116000000000349,0.0339999999996508
2,945790717.058178,0.168000000000757,0.0340000000003784
3,817644173.154925,0.262000000000262,0.0420000000020082
4,735703244.368502,0.281999999999971,0.0379999999997381
5,720560037.222925,0.30199999999968,0.0380000000004657
6,703286813.924873,0.30599999999904,0.0459999999991851
7,679958412.663273,0.338000000000466,0.0439999999995052
8,696809296.89389,0.368000000000029,0.0440000000002328
9,706247350.353418,0.416000000000349,0.0420000000012806
10,669846016.252653,0.414000000000669,0.0440000000002328
11,682950497.091535,0.44800000000032,0.0319999999999709
12,692194696.977198,0.472000000000116,0.0399999999994179
13,644713824.757978,0.527999999999884,0.0400000000001455
14,652217527.993111,0.542000000000553,0.0400000000008731
15,636468275.999976,0.580000000000291,0.0360000000000582
16,618131360.444443,0.677999999999156,0.0459999999999127
17,663382970.784783,0.629999999998836,0.0379999999997381
18,671107457.421793,0.651999999998952,0.0399999999994179
19,667707087.266528,0.656000000000495,0.0440000000009604
20,662306973.036422,0.704000000001543,0.0360000000007858
21,681117580.09282,0.719999999998981,0.0419999999998254
22,666648181.351444,0.723999999999796,0.0419999999990978
23,654779584.432152,0.767999999999301,0.0379999999990105
24,669325068.17597,0.784000000000378,0.0380000000011933
25,658938296.101075,0.828000000000611,0.0380000000004657
26,654251030.319521,0.833999999998923,0.0419999999998254
27,662388164.095567,0.855999999999767,0.0380000000004657
28,663915388.622662,0.904000000000087,0.0339999999996508
29,671449370.279246,0.935999999999331,0.0399999999994179
30,701283592.739488,0.959999999999127,0.0439999999995052
31,693196912.766051,0.958000000000175,0.042000000000553
32,649087569.43244,1.03799999999974,0.0339999999996508
33,654657190.715989,1.02799999999916,0.0359999999993306
34,652151995.727914,1.06399999999994,0.0360000000007858
35,652644879.171727,1.09800000000032,0.0400000000008731
36,639929346.112124,1.08400000000111,0.0460000000006403
37,639228212.865258,1.1260000000002,0.0439999999995052
38,648535662.416831,1.1679999999993,0.0459999999999127
39,666970588.867802,1.46399999999994,0.0480000000003201
40,649676872.970227,1.26600000000035,0.0439999999995052
41,681029346.02944,1.33999999999942,0.0320000000006985
42,672110459.501953,1.22799999999843,0.0319999999992433
43,694953342.025118,1.66199999999953,0.0560000000004948
44,691088368.232116,1.65399999999936,0.0419999999990978
45,678469769.029215,1.31999999999971,0.0459999999999127
46,663692514.280872,1.32399999999907,0.042000000000553
47,672685359.112916,1.35200000000041,0.0419999999998254
48,696900899.170292,1.43600000000079,0.0440000000002328
49,700583189.249056,1.43600000000006,0.0379999999997381
50,687876374.246343,1.47399999999907,0.0360000000000582
51,669606595.692188,1.52999999999956,0.0439999999995052
52,657743257.74338,1.48399999999965,0.0340000000003784
53,685368076.92113,1.50799999999945,0.0379999999997381
54,680377426.443343,1.50999999999985,0.0439999999995052
55,674262666.25609,1.60999999999985,0.0440000000002328
56,686953422.664309,1.60200000000041,0.0459999999999127
57,680207859.018169,1.65800000000017,0.0360000000007858
58,658408343.255818,1.63199999999997,0.0339999999996508
59,711255456.04601,1.74800000000105,0.0380000000004657
60,690771526.880619,1.76999999999971,0.0380000000004657
